accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ,date,time
50.64,-17.72,25.09,-0.01,-0.06,-0.05,2025-2-7,8:0:16
-5.17,-50.94,6.97,0.04,0.01,0.03,2025-2-7,8:0:16
-14.25,-36.69,1.72,0.04,-0.24,-0.03,2025-2-7,8:0:16
5.55,-12.33,3.29,-0.05,0.30,0.04,2025-2-7,8:0:16
-32.01,8.00,-3.37,0.03,0.00,0.02,2025-2-7,8:0:16
-13.77,-10.49,3.62,0.08,-0.24,-0.04,2025-2-7,8:0:16
-42.19,3.85,-5.42,-0.04,0.10,0.03,2025-2-7,8:0:16
-4.21,-16.61,6.72,0.13,-0.29,-0.02,2025-2-7,8:0:16
-28.60,-12.18,-0.17,-0.03,0.13,0.03,2025-2-7,8:0:16
-3.83,0.99,5.32,0.08,-0.23,-0.02,2025-2-7,8:0:16
16.28,23.49,3.31,-0.04,0.24,0.05,2025-2-7,8:0:16
5.59,27.01,12.81,0.03,0.00,0.03,2025-2-7,8:0:16
36.86,-43.60,19.96,-0.05,0.20,-0.00,2025-2-7,8:0:16
6.76,-45.12,14.58,-0.00,-0.31,-0.03,2025-2-7,8:0:16
16.59,-54.10,11.07,-0.01,-0.24,-0.04,2025-2-7,8:0:16
-39.75,-42.76,-3.65,0.02,0.06,0.04,2025-2-7,8:0:16
-51.15,19.25,-0.45,0.02,-0.18,-0.02,2025-2-7,8:0:16
13.25,23.58,1.66,0.02,0.25,0.05,2025-2-7,8:0:16
-43.32,11.74,-8.87,0.01,0.05,0.03,2025-2-7,8:0:16
-20.29,22.16,-9.19,-0.06,0.19,0.02,2025-2-7,8:0:16
-48.59,1.89,-7.97,-0.04,0.12,0.03,2025-2-7,8:0:16
55.92,52.07,17.91,-0.06,0.21,0.01,2025-2-7,8:0:17
39.58,57.11,13.94,0.05,0.23,0.04,2025-2-7,8:0:17
34.89,63.91,17.66,-0.05,0.11,-0.02,2025-2-7,8:0:17
24.18,31.93,9.00,-0.02,0.31,0.04,2025-2-7,8:0:17
33.01,11.11,5.17,0.03,0.06,-0.02,2025-2-7,8:0:17
-39.10,8.31,-5.30,-0.07,0.33,0.03,2025-2-7,8:0:17
68.59,16.20,12.81,0.04,-0.19,0.02,2025-2-7,8:0:17
54.68,39.79,9.50,0.02,0.30,0.03,2025-2-7,8:0:17
24.67,70.58,17.22,0.00,0.14,0.04,2025-2-7,8:0:17
-20.71,39.54,19.25,0.01,-0.01,-0.03,2025-2-7,8:0:17
-22.80,-1.20,1.22,0.04,-0.07,0.00,2025-2-7,8:0:17
1.66,-9.29,12.28,0.04,-0.23,-0.06,2025-2-7,8:0:17
32.70,-34.96,20.13,-0.01,0.03,-0.04,2025-2-7,8:0:17
36.57,-32.84,23.27,0.10,-0.13,-0.00,2025-2-7,8:0:17
51.17,-38.12,23.04,0.02,-0.18,-0.05,2025-2-7,8:0:17
19.46,-24.39,13.33,0.02,0.00,0.02,2025-2-7,8:0:17
57.88,-43.55,25.63,0.04,-0.24,-0.03,2025-2-7,8:0:17
53.28,-50.12,23.12,0.00,0.17,0.03,2025-2-7,8:0:17
5.00,-42.17,16.55,-0.01,-0.14,-0.01,2025-2-7,8:0:17
-23.58,-43.41,4.57,-0.06,0.31,0.03,2025-2-7,8:0:17
7.68,-46.52,4.00,0.01,0.30,0.03,2025-2-7,8:0:17
-37.26,-32.41,-2.31,0.03,0.11,0.05,2025-2-7,8:0:17
-63.42,16.40,-0.67,-0.04,0.02,-0.03,2025-2-7,8:0:17
66.17,26.67,11.34,0.03,0.25,0.04,2025-2-7,8:0:17
58.36,47.99,18.18,-0.00,0.19,0.06,2025-2-7,8:0:17
-59.60,56.79,13.20,-0.02,-0.03,-0.04,2025-2-7,8:0:17
-50.58,22.62,-8.08,0.01,0.23,-0.00,2025-2-7,8:0:17
