adc;derajat;adjinverse
26035;0;0
25974;0.9;0
25935;1.8;0
25894;2.7;0
25793;3.6;0
25717;4.5;0
25684;5.4;0
25612;6.3;0
25521;7.2;705
25447;8.1;706
25388;9;706
25340;9.9;706
25317;10.8;705
25494;11.7;709
25341;12.6;708
25209;13.5;911
24993;14.4;930
24940;15.3;952
25024;16.2;955
24892;17.1;940
24873;18;934
24819;18.9;912
24803;19.8;936
24829;20.7;956
24704;21.6;967
24672;22.5;986
24589;23.4;1017
24510;24.3;1028
24399;25.2;1050
24377;26.1;1153
24277;27;1175
24216;27.9;1251
24191;28.8;1287
24120;29.7;1316
24058;30.6;1397
23955;31.5;1400
23922;32.4;1463
23828;33.3;1482
23789;34.2;1563
23713;35.1;1640
23605;36;1658
23544;36.9;1721
23505;37.8;1788
23416;38.7;1846
23352;39.6;1917
23300;40.5;1977
23213;41.4;2048
23148;42.3;2089
23106;43.2;2183
23036;44.1;2257
22963;45;2313
22874;45.9;2387
22814;46.8;2464
22733;47.7;2517
22686;48.6;2582
22594;49.5;2619
22526;50.4;2703
22473;51.3;2777
22396;52.2;2829
22319;53.1;2925
22252;54;2992
22184;54.9;3043
22122;55.8;3111
22023;56.7;3172
21979;57.6;3251
21894;58.5;3324
21813;59.4;3375
21762;60.3;3452
21700;61.2;3501
21594;62.1;3568
21548;63;3671
21425;63.9;3712
21371;64.8;3795
21313;65.7;3854
21233;66.6;3915
21204;67.5;3998
21123;68.4;4079
21024;69.3;4118
20962;70.2;4204
20910;71.1;4263
20839;72;4335
20712;72.9;4400
20709;73.8;4459
20619;74.7;4524
20567;75.6;4606
20476;76.5;4680
20384;77.4;4716
20316;78.3;4825
20273;79.2;4869
20208;80.1;4945
20153;81;5014
20081;81.9;5096
19991;82.8;5132
19918;83.7;5228
19866;84.6;5274
19764;85.5;5342
19706;86.4;5402
19638;87.3;5457
19567;88.2;5529
19496;89.1;5621
19442;90;5684
19353;90.9;5748
19291;91.8;5821
19207;92.7;5878
19163;93.6;5962
19095;94.5;6028
19008;95.4;6072
18901;96.3;6140
18852;97.2;6222
18794;98.1;6262
18769;99;6359
18668;99.9;6420
18627;100.8;6491
18544;101.7;6548
18489;102.6;6639
18366;103.5;6699
18263;104.4;6742
18196;105.3;6785
18159;106.2;6895
18104;107.1;6970
18066;108;7024
17950;108.9;7075
17910;109.8;7153
17826;110.7;7219
17757;111.6;7280
17670;112.5;7359
17606;113.4;7424
17533;114.3;7518
17483;115.2;7560
17154;116.1;7639
17264;117;7702
17291;117.9;7775
17180;118.8;7822
17107;119.7;7903
17061;120.6;7989
16979;121.5;8018
16861;122.4;8107
16819;123.3;8148
16772;124.2;8229
16727;125.1;8303
16625;126;8381
16584;126.9;8432
16503;127.8;8525
16423;128.7;8577
16370;129.6;8654
16258;130.5;8709
16233;131.4;8789
16110;132.3;8825
16065;133.2;8915
15976;134.1;8966
15939;135;9045
15846;135.9;9121
15788;136.8;9176
15724;137.7;9243
15671;138.6;9338
15577;139.5;9365
15521;140.4;9461
15445;141.3;9524
15352;142.2;9609
15303;143.1;9665
15255;144;9728
15167;144.9;9790
15070;145.8;9882
14930;146.7;9957
14952;147.6;9985
14890;148.5;10080
14836;149.4;10157
14780;150.3;10204
14688;151.2;10244
14598;152.1;10338
14567;153;10408
14478;153.9;10468
14431;154.8;10514
14352;155.7;10597
14287;156.6;10683
14225;157.5;10766
14149;158.4;10844
14072;159.3;10907
13992;160.2;10986
13927;161.1;11030
13885;162;11075
13819;162.9;11158
13731;163.8;11246
13666;164.7;11276
13574;165.6;11365
13497;166.5;11448
13444;167.4;11501
13380;168.3;11577
13330;169.2;11654
13242;170.1;11707
13175;171;11761
13101;171.9;11849
13013;172.8;11925
12958;173.7;11976
12908;174.6;12073
12811;175.5;12152
12736;176.4;12210
12700;177.3;12258
12615;178.2;12322
12547;179.1;12404
12478;180;12478
12404;180.9;12547
12322;181.8;12615
12258;182.7;12700
12210;183.6;12736
12152;184.5;12811
12073;185.4;12908
11976;186.3;12958
11925;187.2;13013
11849;188.1;13101
11761;189;13175
11707;189.9;13242
11654;190.8;13330
11577;191.7;13380
11501;192.6;13444
11448;193.5;13497
11365;194.4;13574
11276;195.3;13666
11246;196.2;13731
11158;197.1;13819
11075;198;13885
11030;198.9;13927
10986;199.8;13992
10907;200.7;14072
10844;201.6;14149
10766;202.5;14225
10683;203.4;14287
10597;204.3;14352
10514;205.2;14431
10468;206.1;14478
10408;207;14567
10338;207.9;14598
10244;208.8;14688
10204;209.7;14780
10157;210.6;14836
10080;211.5;14890
9985;212.4;14952
9957;213.3;14930
9882;214.2;15070
9790;215.1;15167
9728;216;15255
9665;216.9;15303
9609;217.8;15352
9524;218.7;15445
9461;219.6;15521
9365;220.5;15577
9338;221.4;15671
9243;222.3;15724
9176;223.2;15788
9121;224.1;15846
9045;225;15939
8966;225.9;15976
8915;226.8;16065
8825;227.7;16110
8789;228.6;16233
8709;229.5;16258
8654;230.4;16370
8577;231.3;16423
8525;232.2;16503
8432;233.1;16584
8381;234;16625
8303;234.9;16727
8229;235.8;16772
8148;236.7;16819
8107;237.6;16861
8018;238.5;16979
7989;239.4;17061
7903;240.3;17107
7822;241.2;17180
7775;242.1;17291
7702;243;17264
7639;243.9;17154
7560;244.8;17483
7518;245.7;17533
7424;246.6;17606
7359;247.5;17670
7280;248.4;17757
7219;249.3;17826
7153;250.2;17910
7075;251.1;17950
7024;252;18066
6970;252.9;18104
6895;253.8;18159
6785;254.7;18196
6742;255.6;18263
6699;256.5;18366
6639;257.4;18489
6548;258.3;18544
6491;259.2;18627
6420;260.1;18668
6359;261;18769
6262;261.9;18794
6222;262.8;18852
6140;263.7;18901
6072;264.6;19008
6028;265.5;19095
5962;266.4;19163
5878;267.3;19207
5821;268.2;19291
5748;269.1;19353
5684;270;19442
5621;270.9;19496
5529;271.8;19567
5457;272.7;19638
5402;273.6;19706
5342;274.5;19764
5274;275.4;19866
5228;276.3;19918
5132;277.2;19991
5096;278.1;20081
5014;279;20153
4945;279.9;20208
4869;280.8;20273
4825;281.7;20316
4716;282.6;20384
4680;283.5;20476
4606;284.4;20567
4524;285.3;20619
4459;286.2;20709
4400;287.1;20712
4335;288;20839
4263;288.9;20910
4204;289.8;20962
4118;290.7;21024
4079;291.6;21123
3998;292.5;21204
3915;293.4;21233
3854;294.3;21313
3795;295.2;21371
3712;296.1;21425
3671;297;21548
3568;297.9;21594
3501;298.8;21700
3452;299.7;21762
3375;300.6;21813
3324;301.5;21894
3251;302.4;21979
3172;303.3;22023
3111;304.2;22122
3043;305.1;22184
2992;306;22252
2925;306.9;22319
2829;307.8;22396
2777;308.7;22473
2703;309.6;22526
2619;310.5;22594
2582;311.4;22686
2517;312.3;22733
2464;313.2;22814
2387;314.1;22874
2313;315;22963
2257;315.9;23036
2183;316.8;23106
2089;317.7;23148
2048;318.6;23213
1977;319.5;23300
1917;320.4;23352
1846;321.3;23416
1788;322.2;23505
1721;323.1;23544
1658;324;23605
1640;324.9;23713
1563;325.8;23789
1482;326.7;23828
1463;327.6;23922
1400;328.5;23955
1397;329.4;24058
1316;330.3;24120
1287;331.2;24191
1251;332.1;24216
1175;333;24277
1153;333.9;24377
1050;334.8;24399
1028;335.7;24510
1017;336.6;24589
986;337.5;24672
967;338.4;24704
956;339.3;24829
936;340.2;24803
912;341.1;24819
934;342;24873
940;342.9;24892
955;343.8;25024
952;344.7;24940
930;345.6;24993
911;346.5;25209
708;347.4;25341
709;348.3;25494
705;349.2;25317
706;350.1;25340
706;351;25388
706;351.9;25447
705;352.8;25521
2376;353.7;25612
12093;354.6;25684
20856;355.5;25717
14348;356.4;25793
15383;357.3;25894
12389;358.2;25935
22281;359.1;25974
26035;360;26035
