accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ,date,time
-0.53,-2.10,9.75,0.00,-0.00,-0.00,2025-2-6,20:30:0
-0.51,-2.08,9.81,-0.00,0.00,-0.00,2025-2-6,20:30:0
-0.61,-2.08,9.73,0.00,-0.00,-0.00,2025-2-6,20:30:0
-0.55,-2.10,9.71,0.00,-0.00,-0.00,2025-2-6,20:30:0
-0.61,-2.10,9.77,-0.00,0.00,0.00,2025-2-6,20:30:1
-0.57,-2.10,9.73,0.00,-0.00,-0.00,2025-2-6,20:30:1
-0.57,-2.08,9.61,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.51,-2.10,9.73,-0.01,0.00,-0.00,2025-2-6,20:30:1
-0.38,-2.08,9.65,0.01,-0.00,0.00,2025-2-6,20:30:1
-0.59,-2.10,9.71,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.47,-2.08,9.69,-0.00,-0.00,-0.00,2025-2-6,20:30:1
-0.51,-2.10,9.61,0.00,0.00,-0.00,2025-2-6,20:30:1
-0.55,-2.10,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.65,-2.08,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.53,-2.10,9.73,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.49,-2.10,9.69,0.00,-0.00,-0.00,2025-2-6,20:30:1
-0.53,-2.18,9.73,-0.00,-0.00,-0.00,2025-2-6,20:30:1
-0.63,-2.10,9.61,0.00,0.00,-0.00,2025-2-6,20:30:1
-0.28,-1.99,9.71,0.00,-0.00,-0.00,2025-2-6,20:30:1
-0.49,-2.16,9.92,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.51,-2.08,9.67,0.00,-0.01,-0.00,2025-2-6,20:30:1
-0.70,-2.10,9.69,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.59,-2.06,9.96,0.00,-0.00,-0.00,2025-2-6,20:30:1
-0.97,-2.03,9.61,0.00,0.00,0.00,2025-2-6,20:30:1
-0.91,-2.22,9.71,-0.01,0.00,0.00,2025-2-6,20:30:1
-0.38,-2.28,9.59,0.00,0.00,-0.00,2025-2-6,20:30:1
-0.15,-2.12,9.58,-0.00,-0.00,0.00,2025-2-6,20:30:1
-0.36,-2.12,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.22,-2.10,9.73,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.22,-2.16,9.73,-0.00,0.00,-0.00,2025-2-6,20:30:1
-0.86,-2.10,9.79,0.00,0.00,-0.00,2025-2-6,20:30:1
-0.51,-2.10,9.65,0.00,-0.00,-0.00,2025-2-6,20:30:1
-0.59,-2.12,9.75,-0.01,0.01,-0.00,2025-2-6,20:30:1
-0.57,-2.08,9.77,0.00,-0.00,-0.00,2025-2-6,20:30:2
-0.59,-2.10,9.73,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.65,-2.08,9.69,-0.00,-0.00,0.00,2025-2-6,20:30:2
-0.55,-2.08,9.69,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.57,-2.10,9.79,0.00,-0.00,-0.00,2025-2-6,20:30:2
-0.55,-2.10,9.59,-0.00,-0.00,0.00,2025-2-6,20:30:2
-0.59,-2.08,9.71,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.57,-2.08,9.81,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.59,-2.12,9.65,0.00,-0.00,0.00,2025-2-6,20:30:2
-0.51,-2.10,9.63,-0.00,-0.00,-0.00,2025-2-6,20:30:2
-0.51,-2.05,9.71,-0.00,0.00,0.00,2025-2-6,20:30:2
-0.57,-2.08,9.73,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.63,-2.12,9.75,-0.00,0.00,-0.00,2025-2-6,20:30:2
-0.55,-2.08,9.71,0.00,-0.00,-0.00,2025-2-6,20:30:2
-0.61,-2.10,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:2
-0.55,-2.10,9.81,-0.00,0.00,-0.00,2025-2-6,20:30:2
-0.61,-2.12,9.73,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.61,-2.12,9.79,0.00,-0.00,0.00,2025-2-6,20:30:2
-0.44,-2.10,9.69,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.59,-2.08,9.71,-0.00,0.00,-0.00,2025-2-6,20:30:2
-0.55,-2.10,9.67,0.00,-0.00,-0.00,2025-2-6,20:30:2
-0.44,-2.08,9.75,-0.00,-0.00,-0.00,2025-2-6,20:30:2
-0.55,-2.08,9.73,-0.00,0.00,-0.00,2025-2-6,20:30:2
-0.55,-2.08,9.73,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.63,-2.08,9.75,0.00,-0.00,-0.00,2025-2-6,20:30:2
-0.61,-2.10,9.73,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.61,-2.08,9.75,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.55,-2.08,9.71,-0.00,0.00,-0.00,2025-2-6,20:30:2
-0.51,-2.14,9.79,0.00,0.00,-0.00,2025-2-6,20:30:2
-0.57,-2.08,9.65,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.59,-2.08,9.82,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.63,-2.08,9.77,0.00,-0.01,-0.00,2025-2-6,20:30:3
-0.53,-2.08,9.67,0.00,-0.00,-0.00,2025-2-6,20:30:3
-0.47,-2.08,9.67,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.55,-2.10,9.67,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.59,-2.10,9.65,0.00,0.00,-0.00,2025-2-6,20:30:3
-0.57,-2.10,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.57,-2.12,9.75,0.00,0.00,-0.00,2025-2-6,20:30:3
-0.55,-2.10,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.51,-2.10,9.71,0.00,-0.00,0.00,2025-2-6,20:30:3
-0.55,-2.10,9.65,0.00,0.00,-0.00,2025-2-6,20:30:3
-0.61,-2.10,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.55,-2.08,9.73,0.00,-0.00,0.00,2025-2-6,20:30:3
-0.55,-2.12,9.69,-0.00,-0.00,-0.00,2025-2-6,20:30:3
-0.61,-2.10,9.69,0.00,0.00,-0.00,2025-2-6,20:30:3
-0.61,-2.08,9.75,0.00,0.00,-0.00,2025-2-6,20:30:3
-0.65,-2.08,9.61,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.42,-2.10,9.75,0.00,-0.01,-0.00,2025-2-6,20:30:3
-0.38,-2.10,9.73,-0.00,-0.01,-0.00,2025-2-6,20:30:3
-0.53,-2.08,9.75,0.00,-0.00,-0.00,2025-2-6,20:30:3
-0.63,-2.10,9.65,-0.01,0.00,0.00,2025-2-6,20:30:3
-0.61,-2.08,9.84,-0.01,0.00,-0.00,2025-2-6,20:30:3
-0.53,-2.08,9.58,0.00,0.00,-0.00,2025-2-6,20:30:3
-0.55,-2.10,9.79,-0.01,-0.00,-0.00,2025-2-6,20:30:3
-0.57,-2.10,9.75,0.00,-0.00,-0.00,2025-2-6,20:30:3
-0.74,-2.10,9.81,0.00,-0.00,-0.00,2025-2-6,20:30:3
-0.57,-2.10,9.86,-0.00,0.00,-0.00,2025-2-6,20:30:3
-0.51,-2.10,9.67,0.00,0.00,-0.00,2025-2-6,20:30:3
-0.45,-2.08,9.69,0.00,-0.00,-0.00,2025-2-6,20:30:4
-0.55,-2.10,9.73,-0.00,0.00,-0.00,2025-2-6,20:30:4
-0.57,-2.20,9.82,0.00,0.00,-0.00,2025-2-6,20:30:4
-0.51,-2.10,9.79,0.00,-0.00,-0.00,2025-2-6,20:30:4
-0.53,-2.10,9.59,-0.00,-0.00,-0.00,2025-2-6,20:30:4
-0.55,-2.08,9.79,-0.00,0.00,-0.00,2025-2-6,20:30:4
-0.68,-2.08,9.67,-0.00,-0.00,0.00,2025-2-6,20:30:4
-0.47,-2.10,9.69,0.01,0.00,-0.00,2025-2-6,20:30:4
-0.49,-2.06,9.84,0.01,-0.00,-0.00,2025-2-6,20:30:4
-0.53,-2.14,9.61,-0.01,0.00,-0.00,2025-2-6,20:30:4
-0.53,-2.10,9.81,0.01,0.00,-0.00,2025-2-6,20:30:4
-0.55,-2.08,9.65,0.01,-0.00,-0.00,2025-2-6,20:30:4
-0.51,-2.14,9.75,-0.01,-0.00,0.00,2025-2-6,20:30:4
-0.36,-2.14,9.84,-0.00,0.01,0.00,2025-2-6,20:30:4
-0.55,-2.08,9.90,0.02,0.01,-0.00,2025-2-6,20:30:4
-0.55,-2.10,9.65,-0.00,-0.00,-0.00,2025-2-6,20:30:4
-0.45,-2.24,9.67,-0.01,0.00,-0.00,2025-2-6,20:30:4
-0.55,-2.10,9.92,0.00,-0.00,-0.00,2025-2-6,20:30:4
-1.36,-2.14,9.52,0.01,-0.00,0.00,2025-2-6,20:30:4
-0.59,-2.08,9.79,-0.01,-0.00,0.00,2025-2-6,20:30:4
-0.26,-2.08,9.84,-0.00,-0.00,-0.00,2025-2-6,20:30:4
-0.34,-2.12,9.86,-0.00,-0.01,-0.00,2025-2-6,20:30:4
-0.74,-2.12,9.38,-0.01,0.00,-0.00,2025-2-6,20:30:4
-0.61,-2.08,9.79,0.01,-0.00,0.00,2025-2-6,20:30:4
-0.57,-2.08,9.67,-0.00,-0.01,0.00,2025-2-6,20:30:4
-0.65,-2.12,9.54,-0.01,0.00,-0.00,2025-2-6,20:30:4
-0.24,-2.18,9.71,0.01,0.00,-0.00,2025-2-6,20:30:4
