accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ,date,time
-0.49,1.22,9.73,-0.03,-0.02,0.00,2025-2-4,20:30:22
-0.49,1.03,9.56,-0.02,-0.00,-0.00,2025-2-4,20:30:22
-0.57,1.05,9.84,-0.03,-0.01,0.00,2025-2-4,20:30:22
-0.74,1.01,9.63,-0.00,0.00,-0.00,2025-2-4,20:30:26
-0.47,1.13,9.56,-0.01,0.00,-0.00,2025-2-4,20:30:26
-0.67,0.93,9.73,0.00,0.00,-0.00,2025-2-4,20:30:26
-0.53,0.99,9.69,0.00,-0.01,0.00,2025-2-4,20:30:26
-0.68,1.03,9.71,-0.00,0.00,-0.00,2025-2-4,20:30:26
-0.61,0.88,9.71,0.00,-0.01,0.00,2025-2-4,20:30:26
-0.61,1.01,9.58,-0.00,-0.00,-0.00,2025-2-4,20:30:26
-0.57,1.14,9.79,-0.00,-0.01,0.00,2025-2-4,20:30:26
-0.68,1.11,9.63,0.00,-0.00,0.00,2025-2-4,20:30:27
-0.51,1.03,9.79,0.00,-0.01,0.00,2025-2-4,20:30:27
-0.57,1.05,9.61,-0.00,-0.00,-0.00,2025-2-4,20:30:27
-0.63,1.05,9.63,0.00,-0.01,0.00,2025-2-4,20:30:27
-0.51,1.01,9.63,-0.01,0.00,-0.00,2025-2-4,20:30:27
-0.68,1.07,9.73,-0.00,-0.00,-0.00,2025-2-4,20:30:27
-0.51,1.01,9.58,-0.00,0.00,-0.00,2025-2-4,20:30:27
-0.65,0.97,9.69,0.01,-0.01,0.00,2025-2-4,20:30:27
-0.49,1.03,9.58,-0.00,0.00,-0.00,2025-2-4,20:30:27
-0.59,1.05,9.79,-0.00,0.01,-0.00,2025-2-4,20:30:27
-0.44,1.24,9.61,-0.00,0.00,-0.00,2025-2-4,20:30:27
-0.74,0.91,9.84,0.00,-0.01,0.00,2025-2-4,20:30:27
-0.55,1.03,9.61,-0.01,0.01,-0.00,2025-2-4,20:30:27
-0.72,1.03,9.73,-0.00,0.00,-0.00,2025-2-4,20:30:27
-0.51,1.16,9.65,-0.00,0.00,-0.00,2025-2-4,20:30:27
-0.63,1.07,9.67,-0.00,0.01,-0.00,2025-2-4,20:30:27
-0.65,0.95,9.77,-0.02,-0.00,-0.00,2025-2-4,20:30:27
-0.51,0.97,9.65,0.00,0.01,-0.00,2025-2-4,20:30:27
-0.68,0.91,9.69,0.01,-0.01,0.00,2025-2-4,20:30:27
